Airline,Source,Destination,Duration,Total_Stops,Price,Journey_Day,Journey_Month
4,2,1,1.5206854026377858,0.25227850774631816,10262,-1.473271607406164,1.1089710971541669
4,2,1,0.023959907207522044,0.25227850774631816,10262,-1.473271607406164,1.1089710971541669
1,0,5,2.2445918514079786,1.7328668781168346,14887,-1.473271607406164,-1.4745789588661986
5,2,1,0.053307465941448785,0.25227850774631816,13378,0.8801439154115389,-1.4745789588661986
4,3,0,1.119602099940787,0.25227850774631816,12681,-1.473271607406164,-0.6133956068594101
5,2,1,-0.35755835633352556,0.25227850774631816,13378,0.8801439154115389,-1.4745789588661986
1,0,5,1.8630735878669311,1.7328668781168346,26480,-1.473271607406164,-1.4745789588661986
4,3,0,0.16091518129918017,0.25227850774631816,14388,0.5271315869888834,0.2477877451473784
4,2,1,0.31743549454678943,1.7328668781168346,11664,-0.5319053982790829,-0.6133956068594101
8,3,0,1.7750309116651508,0.25227850774631816,9397,-0.5319053982790829,1.1089710971541669
4,0,5,-0.533643708737086,0.25227850774631816,26890,-1.473271607406164,-1.4745789588661986
4,3,0,-0.26951568013174537,0.25227850774631816,10844,-0.5319053982790829,0.2477877451473784
4,2,1,-0.07386528857223376,0.25227850774631816,10262,1.2331562438341943,1.1089710971541669
3,4,3,-1.0814648051037186,-1.2283098626241982,2437,-0.5319053982790829,0.2477877451473784
4,0,2,-0.9151619722781337,-1.2283098626241982,4030,0.8801439154115389,0.2477877451473784
0,0,2,-0.9347270114340848,-1.2283098626241982,7120,-1.473271607406164,1.1089710971541669
8,0,2,-0.954292050590036,-1.2283098626241982,5403,1.2331562438341943,-0.6133956068594101
4,3,0,-0.1521254451960384,0.25227850774631816,9899,-0.17889306985642742,1.1089710971541669
3,0,2,-0.9347270114340848,-1.2283098626241982,3943,-1.473271607406164,1.1089710971541669
4,0,2,-0.9249444918561093,-1.2283098626241982,7229,0.5271315869888834,0.2477877451473784
4,0,5,1.6185105984175416,0.25227850774631816,11087,-0.5319053982790829,-1.4745789588661986
3,2,1,-0.02495269068235586,0.25227850774631816,13611,-0.5319053982790829,-1.4745789588661986
8,0,5,-0.954292050590036,-1.2283098626241982,7975,-0.5319053982790829,-1.4745789588661986
3,0,2,-0.9347270114340848,-1.2283098626241982,3943,-1.473271607406164,0.2477877451473784
5,2,1,-0.2792981997097209,0.25227850774631816,11098,-0.5319053982790829,1.1089710971541669
3,2,1,-0.25973316055376977,0.25227850774631816,7094,-0.8849177267017383,-1.4745789588661986
3,0,2,-0.9249444918561093,-1.2283098626241982,4823,0.5271315869888834,1.1089710971541669
1,3,0,0.5326509252622522,1.7328668781168346,13033,-0.8849177267017383,1.1089710971541669
4,0,2,-0.9151619722781337,-1.2283098626241982,4030,1.5861685722568497,0.2477877451473784
5,2,1,0.11200258340930226,0.25227850774631816,8614,0.174119258566228,1.1089710971541669
7,0,2,-0.9249444918561093,-1.2283098626241982,3625,-1.473271607406164,-0.6133956068594101
4,3,0,-0.4358185129573302,0.25227850774631816,10844,-0.8849177267017383,1.1089710971541669
1,2,1,0.933734227959251,0.25227850774631816,11563,-0.8849177267017383,-1.4745789588661986
5,2,1,-0.14234292561806283,0.25227850774631816,14067,0.8801439154115389,0.2477877451473784
3,2,1,0.4837383273723743,0.25227850774631816,6442,0.174119258566228,0.2477877451473784
4,3,0,-0.2499506409757942,0.25227850774631816,8586,-1.473271607406164,0.2477877451473784
1,2,1,1.188079736986616,0.25227850774631816,6482,0.8801439154115389,-1.4745789588661986
